HR,HR_lower_95,HR_upper_95,p,follow_up,population,season,reference
0.9652946820184205,0.86024169822408,1.0831767688740022,0.5479421703901327,5 years,Other Head and Neck Cancer,Summer,Spring
0.8933565342622138,0.7956171027826675,1.003102993283694,0.05644856574851512,5 years,Other Head and Neck Cancer,Autumn,Spring
0.9436912429771824,0.8401078542301939,1.0600462280975218,0.3285795189340875,5 years,Other Head and Neck Cancer,Winter,Spring
1.0886198438668078,0.9698763511146787,1.2219012898897532,0.149608717844845,5 years,Pancreatic Cancer,Summer,Spring
1.070285513829835,0.9546195838538576,1.1999660393405047,0.24439813108085642,5 years,Pancreatic Cancer,Autumn,Spring
1.1018716657941556,0.9812861856242073,1.2372753083318615,0.1009005746050212,5 years,Pancreatic Cancer,Winter,Spring
0.9269530508143485,0.7961463011740865,1.0792513350208295,0.3284171872255185,5 years,Prostate Cancer,Summer,Spring
1.093358476081749,0.9438484203650553,1.2665516320485477,0.2341727783896261,5 years,Prostate Cancer,Autumn,Spring
1.0179147338231338,0.8720004958181888,1.1882452020420153,0.8220340706199714,5 years,Prostate Cancer,Winter,Spring
0.9119805761845031,0.7736230081168354,1.0750825177270462,0.27240078739300716,5 years,Soft Tissue Sarcoma,Summer,Spring
0.940431023209455,0.7940781352208989,1.1137575386945453,0.47670030628870685,5 years,Soft Tissue Sarcoma,Autumn,Spring
1.033209853558436,0.8782913833598477,1.2154538023662549,0.6934517118142898,5 years,Soft Tissue Sarcoma,Winter,Spring
0.9059831464078698,0.7887013081947626,1.0407050844809975,0.16274814616767044,5 years,Liver Cancer,Summer,Spring
0.8753633691387179,0.7625399403050979,1.0048798594383144,0.05864867766683918,5 years,Liver Cancer,Autumn,Spring
0.8511416774717486,0.7403733371765034,0.9784822315349218,0.02346647704327808,5 years,Liver Cancer,Winter,Spring
0.953294440889328,0.8568699480690554,1.0605696851411324,0.3793329709929991,5 years,Other,Summer,Spring
0.9981566383342302,0.8979058913835485,1.109600331406118,0.9727450957677563,5 years,Other,Autumn,Spring
1.0208875348441355,0.9190468179803274,1.1340133477535692,0.6998338899821417,5 years,Other,Winter,Spring
0.9899912813674909,0.9663521739044388,1.014208653584056,0.41462716142419187,10 years,Overall,Summer,Spring
1.0079091720522695,0.9838960194990476,1.0325083941536106,0.5219484158918972,10 years,Overall,Autumn,Spring
1.0103930275546424,0.9862033595081603,1.0351760215460806,0.4029968814528976,10 years,Overall,Winter,Spring
0.9804112505331429,0.9229463909319408,1.0414540103476517,0.5209071633214419,10 years,Breast Cancer,Summer,Spring
1.0445756199625669,0.9839247244979742,1.1089651460653251,0.15301624129819355,10 years,Breast Cancer,Autumn,Spring
1.0028879887263233,0.9438139621953267,1.065659503057212,0.9258229131548735,10 years,Breast Cancer,Winter,Spring
1.0239663340011333,0.9494142580346819,1.1043725584426802,0.5391754229646952,10 years,Colorectal Cancer,Summer,Spring
0.9445370618187069,0.87520122211687,1.0193658767880267,0.1424097878054335,10 years,Colorectal Cancer,Autumn,Spring
1.0110516232256472,0.9369413220364001,1.0910239102331991,0.7771928114520413,10 years,Colorectal Cancer,Winter,Spring
0.9820963752316025,0.9195535934086767,1.048892959754217,0.5904995989996189,10 years,Lung Cancer,Summer,Spring
