term,HR,HR_lower_95,HR_upper_95,p,E_value
stage_Stage II,0.5378119437582767,0.5104161446802081,0.5666781700846762,1.3664587178834404e-119,3.1234786817872005
stage_Stage III,0.7476083667200801,0.7101757739944443,0.787013990700052,1.2721897809609347e-28,2.009589522330817
stage_Stage IV,1.2374874689167021,1.1746014348195764,1.3037403074184832,1.1687423240704528e-15,1.7796016329164668
stage_Unknown,0.5948620688272547,0.5592972151777353,0.6326884370718534,2.915912935628304e-61,2.751065412580298
kps_group_>=90,0.7042100882389727,0.6877559740278346,0.721057856427244,8.332754634501105e-186,2.1923368280727034
kps_group_Not documented,0.7755846346035598,0.7545747324326942,0.7971795232181221,1.617013771031962e-73,1.900147222433579
concurrent_chemo_Yes,0.9514139299541133,0.9313898460580936,0.9718685145020048,4.449643779204416e-06,1.2827460712790044
total_dose_group_Low,1.230416531022294,1.197795493627081,1.263925977237211,1.1108054180794688e-51,1.7628715138993838
total_dose_group_Middle,1.106082658986121,1.080097468784998,1.132693005832179,9.381718043103641e-17,1.4486263635315215
fraction_dose_group_Low,1.1095799875436825,1.0225761861518243,1.2039863292637287,0.012566492260585089,1.4582743540220586
fraction_dose_group_Middle,1.1040134235180488,1.020850875286334,1.1939507217116054,0.013270660849472966,1.4428824480540687
cancer_type_Breast Cancer: timing_group_Night,0.7491110915157164,0.6687944021291697,0.8390731525941888,5.968871409797325e-07,2.003558800191846
cancer_type_Breast Cancer: timing_group_Afternoon,0.960470846100531,0.8790198096707164,1.0494692338670308,0.37237517569885725,1.248158031111678
cancer_type_Breast Cancer: timing_group_Evening,0.9348409409955181,0.8507643570084786,1.0272263732749165,0.16112446682066978,1.3427554040518266
cancer_type_Colorectal Cancer: timing_group_Night,0.7369169115411123,0.6509312415384683,0.8342609785202617,1.4174116132985932e-06,2.053035064096465
cancer_type_Colorectal Cancer: timing_group_Afternoon,0.9253979646213581,0.8390840237871353,1.0205907497323534,0.12066775623310588,1.3757688911665127
cancer_type_Colorectal Cancer: timing_group_Evening,0.97264129455537,0.8767527819085309,1.0790169217541674,0.6003915390138066,1.1981854752595555
cancer_type_Cervical Cancer: timing_group_Night,0.7932274290008215,0.6925445897248902,0.908547642209152,0.0008233720077262124,1.8339286662294425
cancer_type_Cervical Cancer: timing_group_Afternoon,1.0059122918503902,0.9056564924868356,1.1172663667625757,0.912372740684225,1.083030688133731
cancer_type_Cervical Cancer: timing_group_Evening,0.9673451735530102,0.8647614503525547,1.0820980565389502,0.5616041733021431,1.2205637627121062
cancer_type_Esophageal Cancer: timing_group_Night,0.7924932810468273,0.6973363981542472,0.9006350481155367,0.00036591795957990984,1.836645292416982
cancer_type_Esophageal Cancer: timing_group_Afternoon,0.9886989774413845,0.8937490904020976,1.0937361262699026,0.8253818321933751,1.118951564603265
cancer_type_Esophageal Cancer: timing_group_Evening,0.973538543624838,0.8757849483681004,1.0822032254484595,0.6193818593916663,1.1942719522440952
cancer_type_Nasopharyngeal Carcinoma: timing_group_Night,0.6570878569444557,0.5659008259905665,0.762968407031544,3.6054906183658307e-08,2.41305175630451
cancer_type_Nasopharyngeal Carcinoma: timing_group_Afternoon,1.0282193194665092,0.9154234525557065,1.1549135713887941,0.6387840156640356,1.1985591253184067
cancer_type_Nasopharyngeal Carcinoma: timing_group_Evening,0.9565082344197621,0.8453359873136899,1.0823010214201416,0.4805831694809468,1.2634985786970812
cancer_type_Lymphoma: timing_group_Night,0.8163527184123573,0.7116423345297944,0.936470089710977,0.0037657845215363136,1.749906434839938
cancer_type_Lymphoma: timing_group_Afternoon,1.0186520786681232,0.9129387212458795,1.1366064701021923,0.7409613322466462,1.1564924889503228
